Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
130,D Brevis,17,29.18,152.15,69.76,820.07,52.84
131,JJ Roy,21,32.32,138.6,69.38,990.3,52.79
132,Abishek Porel,29,25.42,149.89,63.84,1066.44,52.67
133,WG Jacks,20,27.24,152.81,70.41,770.9,52.47
134,Abdul Samad,57,18.52,146.85,63.07,1295.92,52.37
135,Aniket Verma,17,23.54,167.21,71.24,542.61,52.35
136,M Vohra,51,22.1,130.64,62.23,1689.82,52.3
137,BCJ Cutting,21,21.64,168.79,73.11,441.4,52.23
138,C Connolly,4,45.33,151.11,69.12,279.56,52.12
139,N Wadhera,34,24.87,140.23,65.15,1189.11,51.85
140,JG Bethell,2,33.5,171.79,80.6,186.4,51.74
141,E Lewis,26,27.25,137.11,70.95,1049.55,51.68
142,Umar Gul,6,13.0,205.26,87.18,161.13,51.66
143,MD Choudhary,5,42.33,149.41,72.44,265.21,51.62
144,KM Jadhav,81,22.37,123.14,53.64,1873.57,51.62
145,MC Henriques,62,27.78,126.9,51.6,1563.45,51.59
146,RR Rossouw,22,23.65,153.57,69.77,786.29,51.42
147,FH Allen,5,16.2,192.86,93.83,217.93,51.36
148,Sameer Rizvi,13,33.8,146.96,68.64,580.48,51.26
