Rank,Player_Name,Matches_Played,Average,Strike_Rate,Boundary_Percentage,Batting_Impact_Score,Ranking_Score
149,TM Dilshan,50,26.81,114.5,61.06,1786.75,51.12
150,Vivrant Sharma,2,69.0,146.81,69.57,176.9,51.12
151,SE Rutherford,24,26.26,146.76,67.74,821.88,51.11
152,BA Stokes,45,24.61,133.95,55.19,1469.48,51.01
153,CL White,45,26.97,127.76,54.79,1520.38,50.9
154,Avesh Khan,79,17.0,158.14,76.47,181.07,50.89
155,SC Ganguly,57,25.45,106.81,59.3,2076.9,50.74
156,BKG Mendis,1,20.0,200.0,80.0,130.0,50.73
157,LJ Wright,7,21.2,176.67,77.36,247.33,50.48
158,IK Pathan,102,21.7,121.05,50.43,1785.53,50.43
159,Nithish Kumar Reddy,30,29.0,137.78,59.44,982.39,50.35
160,KR Mayers,13,29.15,144.11,74.93,640.55,50.35
161,SN Khan,41,23.57,137.28,62.23,1129.14,50.33
162,LRPL Taylor,54,25.42,123.72,53.1,1587.36,50.02
163,Kamran Akmal,6,25.6,164.1,78.12,274.05,49.54
164,R Powell,25,21.75,147.46,68.97,726.23,49.23
165,KT Maphaka,4,8.0,400.0,100.0,212.0,49.02
166,K Gowtham,36,13.72,166.89,65.59,453.95,48.81
167,STR Binny,86,19.13,128.84,53.86,1384.42,48.8
168,SB Dubey,11,23.17,163.53,69.06,290.26,48.38
169,KK Cooper,25,12.89,170.59,72.41,259.29,48.37
170,B Stanlake,6,5.0,250.0,80.0,132.5,48.29
171,PR Veer,2,49.0,136.11,69.39,141.56,48.25
172,OA Shah,22,33.73,130.08,54.15,824.04,47.86
173,P Nissanka,4,31.75,153.01,72.44,267.01,47.64
174,Y Venugopal Rao,57,22.39,117.82,53.81,1536.41,47.56
175,LH Ferguson,49,24.0,153.19,55.56,184.6,47.43
176,Akash Deep,14,8.33,178.57,80.0,126.79,47.28
177,TU Deshpande,49,17.67,160.61,60.38,159.8,47.2
178,MJ Lumb,12,23.17,143.3,77.7,488.65,47.19
179,D Wiese,18,29.6,146.53,60.81,295.27,47.19
180,R Ravindra,18,24.29,143.9,61.99,691.45,47.1
181,CR Brathwaite,16,13.92,163.06,75.14,353.03,47.08
182,Ramandeep Singh,24,20.46,153.76,61.65,475.88,47.05
183,JD Ryder,29,21.57,131.88,64.57,971.94,46.95
184,AN Ahmed,17,36.0,138.46,61.11,123.23,46.95
185,Shahid Afridi,10,10.12,176.09,79.01,209.54,46.91
186,HH Gibbs,36,27.69,109.79,58.47,1383.89,46.7
187,JR Hopes,20,26.06,136.27,62.83,693.64,46.67
188,CJ Anderson,30,24.45,127.19,64.31,870.59,46.57
189,MK Lomror,37,18.17,141.29,59.2,861.14,46.56
190,Shakib Al Hasan,71,19.39,124.41,52.58,1254.71,46.44
191,JP Faulkner,60,20.27,135.13,53.51,858.06,46.37
192,C Bosch,4,29.0,161.11,65.52,167.56,46.33
193,Atharva Taide,10,26.0,146.89,64.62,463.45,45.99
194,Bipul Sharma,29,23.38,152.03,52.41,356.52,45.93
195,MN van Wyk,5,55.67,126.52,49.1,313.76,45.83
196,Rahmanullah Gurbaz,18,21.35,134.94,73.83,611.97,45.8
197,AD Mathews,46,23.35,125.91,48.34,1148.96,45.7
198,R Ashwin,217,13.02,118.16,51.62,1308.58,45.63
199,MS Bisla,39,21.0,113.68,63.91,1253.84,45.3
200,PD Collingwood,7,40.6,130.13,56.16,369.56,45.3
201,GC Smith,29,28.42,110.63,58.19,1163.81,45.21
202,L Wood,2,9.0,300.0,66.67,163.5,45.18
